418, 2023-01-01T08:20:00.000-0300, 1589, null
418, 2023-01-01T08:25:00.000-0300, 1606, null
418, 2023-01-01T08:30:00.000-0300, 1614, 29.8
418, 2023-01-01T08:35:00.000-0300, 1623, null
418, 2023-01-01T08:40:00.000-0300, 1628, null
418, 2023-01-01T08:45:00.000-0300, 1631, 30.3
418, 2023-01-01T08:50:00.000-0300, 1642, null
418, 2023-01-01T08:55:00.000-0300, 1652, null
418, 2023-01-01T09:00:00.000-0300, 1653, 31.3
418, 2023-01-01T09:05:00.000-0300, 1673, null
418, 2023-01-01T09:10:00.000-0300, 1658, null
418, 2023-01-01T09:15:00.000-0300, 1665, 31.6
418, 2023-01-01T09:20:00.000-0300, 1678, null
418, 2023-01-01T09:25:00.000-0300, 1685, null
418, 2023-01-01T09:30:00.000-0300, 1687, 32.3
418, 2023-01-01T09:35:00.000-0300, 1705, null
418, 2023-01-01T09:40:00.000-0300, 1716, null
418, 2023-01-01T09:45:00.000-0300, 1704, 32.8
418, 2023-01-01T09:50:00.000-0300, 1719, null
418, 2023-01-01T09:55:00.000-0300, 1719, null
418, 2023-01-01T10:00:00.000-0300, 1735, 33.2
418, 2023-01-01T10:05:00.000-0300, 1746, null
418, 2023-01-01T10:10:00.000-0300, 1757, null
418, 2023-01-01T10:15:00.000-0300, 1759, 33.9
418, 2023-01-01T10:20:00.000-0300, 1764, null
418, 2023-01-01T10:25:00.000-0300, 1776, null
418, 2023-01-01T10:30:00.000-0300, 1784, 34.5
418, 2023-01-01T10:35:00.000-0300, 1792, null
418, 2023-01-01T10:40:00.000-0300, 1790, null
418, 2023-01-01T10:45:00.000-0300, 1801, 35.3
418, 2023-01-01T10:50:00.000-0300, 1813, null
418, 2023-01-01T10:55:00.000-0300, 1815, null
418, 2023-01-01T11:00:00.000-0300, 1839, 35.5
418, 2023-01-01T11:05:00.000-0300, 1822, null
418, 2023-01-01T11:10:00.000-0300, 1822, null
418, 2023-01-01T11:15:00.000-0300, 1837, 36.1
418, 2023-01-01T11:20:00.000-0300, 1850, null
418, 2023-01-01T11:25:00.000-0300, 1852, null
418, 2023-01-01T11:30:00.000-0300, 1863, 36.4
418, 2023-01-01T11:35:00.000-0300, 1869, null
418, 2023-01-01T11:40:00.000-0300, 1870, null
418, 2023-01-01T11:45:00.000-0300, 1894, 36.8
418, 2023-01-01T11:50:00.000-0300, 1897, null
418, 2023-01-01T11:55:00.000-0300, 1871, null
418, 2023-01-01T12:00:00.000-0300, 1905, 37.1
418, 2023-01-01T12:05:00.000-0300, 1911, null
418, 2023-01-01T12:10:00.000-0300, 1934, null
418, 2023-01-01T12:15:00.000-0300, 1920, 37.2
418, 2023-01-01T12:20:00.000-0300, 1938, null
418, 2023-01-01T12:25:00.000-0300, 1937, null
418, 2023-01-01T12:30:00.000-0300, 1953, 37.2
418, 2023-01-01T12:35:00.000-0300, 1953, null
418, 2023-01-01T12:40:00.000-0300, 1963, null
418, 2023-01-01T12:45:00.000-0300, 1963, 37.6
418, 2023-01-01T12:50:00.000-0300, 1966, null
418, 2023-01-01T12:55:00.000-0300, 1977, null
418, 2023-01-01T13:00:00.000-0300, 1970, 37.8
418, 2023-01-01T13:05:00.000-0300, 1975, null
418, 2023-01-01T13:10:00.000-0300, 1988, null
418, 2023-01-01T13:15:00.000-0300, 1989, 37.9
418, 2023-01-01T13:20:00.000-0300, 1993, null
418, 2023-01-01T13:25:00.000-0300, 2006, null
418, 2023-01-01T13:30:00.000-0300, 1997, 37.5
418, 2023-01-01T13:35:00.000-0300, 1994, null
418, 2023-01-01T13:40:00.000-0300, 2007, null
418, 2023-01-01T13:45:00.000-0300, 2007, 37.7
418, 2023-01-01T13:50:00.000-0300, 2022, null
418, 2023-01-01T13:55:00.000-0300, 2027, null
418, 2023-01-01T14:00:00.000-0300, 2033, 37.9
418, 2023-01-01T14:05:00.000-0300, 2037, null
418, 2023-01-01T14:10:00.000-0300, 2051, null
